UK Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from December 2014 & Winter 2015. Last updated 07/04/2015

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    5.4    6.8    9.1    9.8   14.4   17.7   17.0   17.7   15.6   12.8    5.9    7.7     ---  11.08  17.48  11.44   11.68
1911    5.9    6.8    7.2   10.3   16.4   17.8   21.4   21.2   17.3   11.8    7.8    7.7    6.79  11.31  20.19  12.30   12.68
1912    5.3    7.0    9.2   12.6   14.8   16.3   18.4   15.2   13.9   11.5    8.0    8.2    6.66  12.16  16.66  11.12   11.72
1913    5.9    7.0    8.2   10.5   14.3   17.1   17.6   18.6   16.5   13.2   10.2    6.6    7.04  11.01  17.79  13.33   12.18
1914    5.4    8.6    8.2   13.5   13.8   17.9   18.8   19.3   16.8   12.9    8.9    6.1    6.81  11.82  18.68  12.84   12.52
1915    5.3    6.1    7.7   11.0   14.3   18.0   17.5   18.1   16.6   11.9    5.8    6.5    5.83  11.00  17.85  11.42   11.59
1916    9.0    5.5    5.1   11.3   14.3   14.6   18.1   19.3   15.7   12.6    8.8    4.6    7.04  10.26  17.37  12.37   11.61
1917    2.9    4.0    5.8    8.3   15.7   18.0   19.4   17.9   16.5   10.2    9.7    4.7    3.82   9.96  18.45  12.10   11.13
1918    5.5    8.0    8.6    9.8   16.1   16.8   18.5   18.6   14.0   11.5    8.1    8.2    6.01  11.55  18.02  11.19   12.02
1919    4.8    3.9    5.8   10.1   16.8   17.1   17.2   18.7   15.9   11.0    5.1    6.9    5.67  10.92  17.68  10.68   11.16
1920    6.8    8.2    9.4   10.1   14.6   17.5   16.5   16.4   15.8   13.4    9.5    6.1    7.28  11.37  16.82  12.90   12.04
