$ python main2.py 
2018-11-23T11:26:34.005752 current=25.6 min=25.6 max=25.6
2018-11-23T11:26:43.955339 current=25.2 min=25.2 max=25.6
2018-11-23T11:26:53.907398 current=24.7 min=24.7 max=25.6
2018-11-23T11:27:03.860271 current=24.4 min=24.4 max=25.6
2018-11-23T11:27:13.812171 current=24.1 min=24.1 max=25.6
2018-11-23T11:27:23.765222 current=23.9 min=23.9 max=25.6
Resetting max and min
2018-11-23T11:27:33.717196 current=28.7 min=28.7 max=28.7
2018-11-23T11:27:43.669152 current=30.8 min=28.7 max=30.8
2018-11-23T11:27:53.622132 current=31.7 min=28.7 max=31.7
2018-11-23T11:28:03.575222 current=30.4 min=28.7 max=31.7
